,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
1,236,105,9,87,18,3,113.35,12000000,105867.0,3,1
2,220,105,9,87,18,2,73.32,7280000,99291.0,2,1
3,220,105,9,50,55,6,89.24,23000000,257732.0,3,0
4,220,105,8,95,10,3,75.51,10400000,137730.0,1,1
5,236,105,10,88,17,5,32.19,4680000,145387.0,1,0
6,220,105,9,98,7,3,117.64999999999999,15920000,135317.0,2,1
9,220,105,10,50,55,1,114.7,12000000,104621.0,3,0
10,236,105,9,97,8,5,51.57,7300000,141555.0,1,1
11,236,105,9,50,55,2,90.25999999999999,7600000,84201.0,3,1
16,244,105,9,96,9,3,142.23000000000002,10300000,72418.0,2,1
19,242,105,10,88,17,3,107.03,11200000,104644.0,3,1
20,242,105,9,66,39,1,77.02,5020000,65178.0,3,0
21,244,105,9,97,8,6,234.81,16550000,70483.0,4,1
24,242,105,10,80,25,3,140.87,10000000,70987.0,3,1
25,242,105,9,95,10,2,83.66,7800000,93235.0,2,0
26,244,105,10,96,9,3,206.11,13000000,63073.0,4,1
27,242,105,10,88,17,3,55.910000000000004,5180000,92649.0,3,1
81,231,105,9,102,3,2,95.41,6600000,69175.0,2,1
173,231,105,9,91,14,3,364.86,59680000,163570.0,4,0
175,251,105,10,102,3,3,82.92,6100000,73565.0,2,1
176,251,105,10,85,20,5,20.77,1320000,63553.0,1,0
177,251,105,10,85,20,5,45.15,1430000,31665.0,1,1
178,251,105,8,87,18,3,137.47,12000000,87292.0,3,1
179,251,105,9,83,22,3,110.68,7500000,67763.0,2,1
180,251,105,10,105,0,3,167.72,7500000,43686.0,3,1
181,251,105,10,105,0,3,165.76,8000000,47803.0,3,1
182,251,105,10,105,0,3,128.2,6500000,49725.0,2,1
183,251,105,10,99,6,2,256.72,18880000,73543.0,3,1
184,224,105,9,50,55,1,95.34,1910000,20034.0,2,0
186,247,105,8,81,24,2,66.09,6000000,90785.0,2,1
187,241,105,9,69,36,1,71.0,6000000,84507.0,3,0
188,241,105,10,104,1,3,165.57999999999998,19500000,129813.0,3,1
189,241,105,10,64,41,1,151.26,19300000,127595.0,2,0
190,241,105,10,102,3,3,155.06,16800000,108345.0,4,1
