,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
1601,234,107,1,88,19,3,121.28,20500000,169030.0,3,1
1602,241,107,1,104,3,3,153.31,15250000,116043.0,3,1
1603,241,107,1,70,37,1,77.68,6050000,77884.0,3,0
1604,241,107,1,101,6,3,184.04000000000002,24530000,133286.0,3,1
1605,241,107,1,72,35,1,81.03,7000000,86388.0,2,0
1606,241,107,1,63,44,1,60.49,7050000,116548.0,2,0
1607,241,106,12,57,49,1,74.86,5500000,73470.0,2,0
1608,241,107,1,69,38,1,95.0,8500000,89474.0,3,0
1617,247,107,2,98,9,3,125.78999999999999,15500000,123221.0,3,1
1622,251,107,1,105,2,3,169.53,9450000,56501.0,3,1
1625,251,107,2,102,5,3,122.07,6100000,49971.0,2,1
1626,251,107,1,84,23,3,86.67999999999999,4400000,50761.0,2,1
1627,251,107,1,84,23,3,179.78,13000000,72311.0,4,1
1628,249,107,1,98,9,2,180.56,7000000,38768.0,3,1
1629,252,107,1,86,21,2,91.52,2250000,24585.0,2,1
1630,249,107,1,83,24,3,159.12,6000000,37707.0,3,1
1631,251,107,1,103,4,3,380.75,60217137,158154.0,3,1
1632,251,107,1,103,4,3,191.21,26529319,138744.0,3,1
1634,221,106,12,88,18,3,155.1,13200000,85106.0,4,1
1636,221,107,2,85,22,2,115.72,4500000,38887.0,3,1
1637,221,107,2,84,23,5,56.68,5300000,93507.0,1,1
1638,221,107,2,88,19,1,72.95,6000000,82237.0,3,1
1639,221,107,1,86,21,3,64.2,5400000,84112.0,2,1
1640,221,107,1,83,24,2,129.46,8900000,68747.0,2,0
1642,231,107,1,78,29,1,143.85,8100000,56309.0,3,1
1643,231,106,12,67,39,1,97.17,16500000,169805.0,3,0
1645,231,107,1,85,22,3,151.62,7520000,49598.0,3,1
1646,222,107,1,70,37,1,78.64,4700000,59766.0,3,0
1648,231,107,1,70,37,1,115.99,11200000,96560.0,3,0
1649,231,107,1,50,57,6,57.99,5000000,86222.0,3,0
1657,231,107,1,94,13,6,236.70000000000002,15580000,65822.0,4,1
1658,242,106,12,80,26,1,87.02,4500000,51712.0,3,0
1670,242,107,1,83,24,2,132.65,13000000,98002.0,3,1
1674,242,107,1,94,13,3,119.84,13000000,108478.0,3,1
1677,243,107,1,66,41,1,64.9,4650000,71649.0,3,0
1680,242,107,1,81,26,2,48.44,5200000,107349.0,1,1
1681,242,107,1,80,27,3,158.0,12500000,79114.0,4,1
1684,243,106,12,76,30,1,105.66,7800000,73822.0,3,0
1687,236,107,1,84,23,3,156.29,12380000,79212.0,3,1
1688,220,106,12,64,42,1,70.04,5470000,78098.0,3,0
1689,236,107,1,85,22,3,82.53,6180000,74882.0,2,1
1690,220,107,1,85,22,3,149.82999999999998,16800000,112127.0,3,1
1691,220,106,12,75,31,1,107.61999999999999,10500000,97566.0,3,0
1696,236,107,1,69,38,1,85.81,5850000,68174.0,3,0
1697,236,107,2,84,23,5,86.88,6350000,73089.0,1,1
1698,236,107,1,85,22,2,71.87,5020000,69848.0,2,1
1699,236,107,1,70,37,1,66.2,5750000,86858.0,2,0
1700,220,107,1,72,35,1,95.9,11000000,114703.0,3,0
1701,220,106,11,96,10,3,165.85,27300000,164607.0,2,1
1703,236,106,12,71,35,1,110.23,7850000,71215.0,3,0
1704,220,107,2,87,20,2,86.23,8800000,102053.0,2,1
1705,220,107,1,50,57,1,79.8,16800000,210526.0,0,0
1732,220,107,2,67,40,1,124.82,13400000,107355.0,3,1
1734,220,107,2,50,57,1,91.77,4200000,45767.0,3,0
1735,220,106,12,87,19,2,159.95,14700000,91904.0,3,0
1736,220,107,1,69,38,1,79.2,10800000,136364.0,2,0
1737,236,107,1,70,37,1,90.98,6300000,69246.0,3,0
1750,236,107,2,85,22,3,40.58,4120000,101528.0,1,1
1751,220,107,2,68,39,1,95.84,10550000,110079.0,3,0
1758,236,107,1,86,21,3,151.7,14500000,95583.0,3,1
1759,220,106,11,94,12,3,107.16,11500000,107316.0,3,1
1760,220,107,1,66,41,1,73.74,8200000,111202.0,0,0
1761,220,107,1,70,37,1,95.59,8900000,93106.0,3,0
1763,236,106,11,81,25,2,66.13,7100000,107364.0,2,1
1764,220,107,1,95,12,3,107.5,11500000,106977.0,2,1
1766,242,107,1,72,35,1,92.91,7600000,81800.0,3,0
1767,242,107,1,86,21,1,99.21000000000001,4760000,47979.0,3,0
1768,242,107,1,80,27,2,175.03000000000003,13000000,74273.0,4,1
1770,243,107,2,93,14,2,140.39,12800000,91175.0,3,1
1771,248,106,12,85,21,3,136.54,9200000,67380.0,2,1
1781,248,107,1,74,33,1,91.04,5800000,63708.0,4,0
1782,242,107,1,57,50,6,96.0,9500000,98958.0,4,0
1784,243,107,1,92,15,3,202.82,16500000,81353.0,4,1
1786,248,107,1,83,24,2,121.99,7850000,64350.0,3,1
1789,231,107,1,70,37,1,96.0,9000000,93750.0,3,0
1790,231,107,1,74,33,1,112.46,13000000,115597.0,3,0
1792,231,107,1,85,22,6,229.03,15400000,67240.0,4,1
1793,231,107,1,84,23,3,107.91000000000001,7200000,66722.0,2,1
1795,221,107,1,70,37,6,109.96,8300000,75482.0,4,1
1796,221,107,1,98,9,3,86.48,10550000,121994.0,2,1
1797,221,107,2,85,22,3,124.22,9600000,77282.0,4,1
1798,221,107,1,88,19,3,189.70999999999998,10680000,56296.0,3,1
1799,221,107,1,81,26,3,196.67,13000000,66101.0,4,1
1804,251,106,4,106,0,3,150.51,9000000,65423.0,3,1
1805,249,107,2,101,6,3,325.66999999999996,28380000,87143.0,3,1
1806,251,107,1,83,24,2,180.96,12000000,66313.0,3,1
1807,251,107,1,63,44,1,69.74,3900000,55922.0,2,1
1809,251,107,1,70,37,1,102.19,4200000,41100.0,2,0
1810,251,107,2,96,11,3,32.629999999999995,2250000,68955.0,1,1
1814,251,107,2,105,2,3,154.81,8540000,55164.0,2,1
1816,249,107,1,94,13,5,57.730000000000004,3750000,64958.0,1,1
1817,251,107,1,98,9,3,87.61,5450000,62208.0,1,1
1821,241,107,1,74,33,1,85.87,6600000,76860.0,4,0
1822,247,107,1,104,3,3,146.99,14000000,95245.0,2,1
1824,241,107,2,104,3,3,116.62,20300000,174070.0,3,1
1825,247,107,1,101,6,2,175.98000000000002,20000000,119679.0,3,1
1827,247,107,1,77,30,1,95.89,10500000,109500.0,4,0
1828,241,107,1,67,40,1,59.0,5700000,96610.0,2,0
1829,241,106,11,63,43,1,79.48,6600000,83040.0,2,0
1830,241,107,1,97,10,3,101.67999999999999,11650000,114575.0,3,1
1831,241,107,2,70,37,1,75.0,6800000,90667.0,2,0
1835,235,106,12,67,39,1,89.79,4400000,49003.0,3,0
1836,235,107,1,60,47,1,55.25,6100000,110407.0,0,0
1837,235,106,12,67,39,1,70.06,7500000,107051.0,3,0
1839,234,107,1,69,38,1,73.6,7900000,107337.0,4,0
1840,235,107,1,65,42,1,46.13,3900000,84544.0,2,0
1841,235,107,1,78,29,1,106.07000000000001,8600000,81079.0,3,0
1843,234,107,1,66,41,1,111.52,13000000,116571.0,6,0
1848,238,107,1,95,12,3,127.91999999999999,10350000,80910.0,2,1
1849,238,107,1,95,12,3,182.95,13880000,75868.0,3,1
1850,237,107,1,83,24,2,110.33,4650000,42146.0,3,1
1851,239,107,1,85,22,2,87.30000000000001,3600000,41237.0,2,1
1852,237,107,1,88,19,3,115.80000000000001,8600000,74266.0,3,1
1853,237,107,1,88,19,3,115.67,8400000,72620.0,3,1
1857,239,107,1,85,22,3,87.77,4900000,55828.0,4,1
1864,242,106,12,65,41,6,82.52,11000000,133301.0,5,0
1865,221,107,1,80,27,1,266.79,16150000,61600.0,4,1
1866,251,107,1,98,9,6,331.21,27200000,82123.0,6,0
1867,221,107,2,88,19,3,91.78,8650000,94247.0,2,1
1868,231,106,12,88,18,3,88.65,10700000,120699.0,2,1
1870,234,107,1,72,35,1,79.6,8500000,106784.0,3,0
1871,234,107,1,93,14,3,89.27000000000001,14380000,161084.0,2,1
1873,241,107,1,57,50,1,47.39,5000000,105507.0,2,0
1874,241,107,1,97,10,3,142.63,16500000,115684.0,5,1
1876,220,107,1,97,10,3,37.91,2500000,65946.0,1,1
1877,236,107,1,74,33,7,93.48,18300000,195764.0,2,0
